,product_link,product_name,body_dimension,pname_dimension
58,https://www.nike.com/in/t/sb-force-58-skate-shoe-HNFTvl/CZ2959-001,Nike SB Force 58,"{'x': 0, 'y': 0, 'height': 3205, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
59,https://www.nike.com/in/t/pg-6-ep-basketball-shoes-9KkDtr/DH8447-001,PG 6 EP,"{'x': 0, 'y': 0, 'height': 3095, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
60,https://www.nike.com/in/t/air-max-95-shoes-fk6w0s/DQ3430-001,Nike Air Max 95,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
61,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-rTFHwQ/CT2392-006,Nike Zoom Fly 4,"{'x': 0, 'y': 0, 'height': 3233, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
62,https://www.nike.com/in/t/sb-ishod-wair-skate-shoes-gH9qC4/DM0752-002,Nike SB Ishod Wair Premium,"{'x': 0, 'y': 0, 'height': 3076, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
63,https://www.nike.com/in/t/sb-zoom-blazer-low-pro-gt-skate-shoes-xMq2vr/DM8890-400,Nike SB Zoom Blazer Low Pro GT Premium,"{'x': 0, 'y': 0, 'height': 3020, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
64,https://www.nike.com/in/t/blazer-low-77-jumbo-shoes-mvhvNn/DQ8768-100,Nike Blazer Low '77 Jumbo,"{'x': 0, 'y': 0, 'height': 3048, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
65,https://www.nike.com/in/t/kyrie-infinity-ep-basketball-shoes-QJ01t9/DC9134-102,Kyrie Infinity EP,"{'x': 0, 'y': 0, 'height': 3075, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
66,https://www.nike.com/in/t/jordan-xii-g-golf-shoes-bwb9kV/DM0106-117,Jordan XII G,"{'x': 0, 'y': 0, 'height': 2965, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
67,https://www.nike.com/in/t/air-zoom-terra-kiger-8-trail-running-shoes-gVwLbV/DH0649-300,Nike Air Zoom Terra Kiger 8,"{'x': 0, 'y': 0, 'height': 3123, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
68,https://www.nike.com/in/t/sacai-blazer-low-shoes-gBslFL/DM6443-001,Nike x sacai Blazer Low,"{'x': 0, 'y': 0, 'height': 3257, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
69,https://www.nike.com/in/t/mercurial-vapor-14-academy-mg-multi-ground-football-boot-tPZz5n/DJ2869-054,Nike Mercurial Vapor 14 Academy MG,"{'x': 0, 'y': 0, 'height': 3047, 'width': 785}","{'x': 24, 'y': 140, 'height': 34, 'width': 729}"
